hour,dif_tide_height,current_dir,wave_height,current_speed,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.125,0.05106383,0.05474537,0.096187684,0.579093293,0.160377358,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.166666667,0.046808511,0.033472222,0.103812317,0.466766579,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.208333333,0.063829787,0.014675926,0.099706745,0.32476583,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.25,0.114893617,0.889143519,0.106744868,0.159685275,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.291666667,0.106382979,0.716782408,0.09032258,0.085575122,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.333333333,0.106382979,0.615740741,0.080938416,0.275833645,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.375,0.042553191,0.583680556,0.075659824,0.470738104,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.416666667,0.025531915,0.539189815,0.069208211,0.486774073,0.141509434,0,1,6,0.196658098,0.183967841,0.05230174,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.053335294
0.458333333,0.063829787,0.558333333,0.070381232,0.468415137,0.226415094,0,1,6,0.196658098,0.183967841,0.05230174,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.053335294
0.5,0.110638298,0.518981481,0.080351906,0.360134882,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.541666667,0.127659574,0.350069444,0.073900293,0.183664294,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.583333333,0.123404255,0.147407407,0.082697947,0.286774073,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.625,0.106382979,0.091515152,0.090695814,0.367866753,0.235849057,0,1,13,0.073264781,0.183967841,0.017510643,0.985981308,0.050602979,0.949397021,0.141220423,0.271208226,0.019870011
0.666666667,0.05106383,0.080231481,0.107331378,0.366729112,0.377358491,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
0.708333333,0.059574468,0.07337963,0.109677419,0.229449232,0.320754717,0,0,0,0,0,0,0,0,0.949397021,0.141220423,0,0
