hour,dif_tide_height,current_dir,water_temp,current_speed,wind_speed,wind_dir,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.25,0.114893617,0.889143519,0.235120802,0.159685275,0.179245283,0.161666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.291666667,0.106382979,0.716782408,0.238490719,0.085575122,0.264150943,0.121944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.333333333,0.106382979,0.615740741,0.235176046,0.275833645,0.169811321,0.093888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.375,0.042553191,0.583680556,0.236501915,0.470738104,0.066037736,0.5025,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.416666667,0.025531915,0.539189815,0.237662051,0.486774073,0.141509434,0.968055556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.458333333,0.063829787,0.558333333,0.21020551,0.468415137,0.226415094,0.945555556,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.5,0.110638298,0.518981481,0.215564231,0.360134882,0.122641509,0.713888889,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.541666667,0.127659574,0.350069444,0.216669122,0.183664294,0.226415094,0.714444444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.583333333,0.123404255,0.147407407,0.210702711,0.286774073,0.216981132,0.831666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.625,0.106382979,0.091515152,0.285965875,0.367866753,0.235849057,0.794166667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.666666667,0.05106383,0.080231481,0.273571008,0.366729112,0.377358491,0.846944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.708333333,0.059574468,0.07337963,0.259815115,0.229449232,0.320754717,0.993333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.75,0.085106383,0.303287037,0.279979375,0.073735481,0.339622642,0.001944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.791666667,0.076595745,0.602222222,0.273791986,0.196777819,0.141509434,0.148333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.833333333,0.131914894,0.56537037,0.272134649,0.426152117,0.188679245,0.042222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.875,0.059574468,0.567878788,0.250107141,0.555148336,0.179245283,0.116111111,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.916666667,0.038297872,0.542986111,0.234236888,0.493068565,0.150943396,0.162222222,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.958333333,0.046808511,0.539328704,0.214404096,0.475009367,0.113207547,0.0725,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
1,0.10212766,0.485763889,0.217663524,0.294492319,0,0,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.041666667,0.093617021,0.279015151,0.220275084,0.165707279,0.08490566,0.201944444,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.083333333,0.110638298,0.106041667,0.212581026,0.389059573,0.08490566,0.258333333,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.125,0.076595745,0.061944444,0.206448881,0.524990633,0.169811321,0.486666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.166666667,0.034042553,0.049652778,0.214901297,0.547845635,0.113207547,0.055277778,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.208333333,0.059574468,0.025856481,0.223298468,0.40591982,0.122641509,0.211666667,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
0.25,0.063829787,0.176388889,0.235618003,0.276957662,0.188679245,0.13,0,0,0,0,0,0,0,0,0.949397021,0.022665006,0,0
