hour,wave_height,current_speed,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.833333333,0.064516129,0.426152117,0.646112601,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.875,0.070861104,0.555148336,0.754244861,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.09032258,0.493068565,0.824620196,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.076832845,0.475009367,0.817247542,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.068035191,0.294492319,0.715482574,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.069581445,0.165707279,0.539851888,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.079178886,0.389059573,0.350201072,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.079178886,0.524990633,0.205093834,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.074486803,0.547845635,0.117180518,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.075659824,0.40591982,0.13538874,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.072140762,0.276957662,0.240393208,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.069208211,0.101985762,0.370308311,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.076832845,0.131884601,0.508824844,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.081524926,0.30093668,0.615393208,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.068621701,0.508055451,0.711349419,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.458333333,0.075659824,0.515324091,0.69626899,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.5,0.065102639,0.434095167,0.630808758,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.541666667,0.076246334,0.258149119,0.51217605,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
0.583333333,0.108504399,0.168227801,0.332551385,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.625,0.138043189,0.371954085,0.19626899,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.666666667,0.13372434,0.438441364,0.122319035,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.708333333,0.148856305,0.388115399,0.120084897,0,1,3,0.194503171,0.335540317,0.108685119,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.028921895
0.75,0.15483871,0.195578868,0.206949887,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.791666667,0.144868035,0.043162233,0.359300887,0,1,1,0.290345314,0.335540317,0.171229342,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.043173264
0.833333333,0.105571848,0.241888348,0.525357462,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.875,0.098533724,0.459123267,0.663762288,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.916666667,0.107331378,0.489171974,0.763516533,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.958333333,0.096774194,0.465118022,0.805406613,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
1,0.080938416,0.399250656,0.760500447,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.041666667,0.078005865,0.237242413,0.647090493,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.083333333,0.100293255,0.254027726,0.469168901,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.125,0.08914956,0.480104908,0.278485255,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.166666667,0.100293255,0.568677407,0.160746202,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.208333333,0.091495601,0.524466092,0.115840036,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.25,0.08797654,0.357437242,0.174709562,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.291666667,0.09032258,0.213263394,0.2987042,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.333333333,0.118848307,0.101944889,0.46849866,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.375,0.160437216,0.281378793,0.610254692,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.416666667,0.088136497,0.485990667,0.718386952,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.458333333,0.070381232,0.540127388,0.761058981,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.5,0.096774194,0.512701386,0.749776586,0,0,0,0,0,0,0,0,0.949397021,0.300871731,0,0
0.541666667,0.1542522,0.428475084,0.631478999,0,1,5,0.155743481,0.335540317,0.085217606,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.023158474
0.583333333,0.135483871,0.235743724,0.480004468,0,1,2,0.319943622,0.335540317,0.191969548,0.985981308,0.050602979,0.949397021,0.300871731,0.148696265,0.047574422
