hour,current_dir,water_temp,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.958333333,0.543449074,0.243186505,0.056603774,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.528194444,0.225287272,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.405162037,0.225673984,0.037735849,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.184421296,0.223906158,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.090277778,0.222138332,0.264150943,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.060740741,0.230590748,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.048310185,0.228215233,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.09974537,0.231861373,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.659837963,0.242799794,0.198113208,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.802070707,0.248841538,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.626237374,0.245466599,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.592676768,0.242935394,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.553634259,0.247164113,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.551388889,0.221641131,0.556603774,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.531597222,0.210039776,0.735849057,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.583333333,0.414166667,0.222083088,0.377358491,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.625,0.175833333,0.221088686,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.666666667,0.088773148,0.226281673,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.708333333,0.1,0.24414073,0.518867925,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.75,0.105509259,0.246777401,0.566037736,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.791666667,0.095046296,0.235286535,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.833333333,0.650555556,0.237451117,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.875,0.57525463,0.232690041,0.245283019,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.580856481,0.234402622,0.169811321,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.540763889,0.240148055,0.433962264,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.544490741,0.216503388,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.505625,0.21943135,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.355046296,0.222469799,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.139606481,0.216227166,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.080231481,0.205675457,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.064375,0.210315999,0.028301887,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.039930556,0.214901297,0.358490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.01625,0.226392163,0.216981132,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.891944444,0.235838981,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.692523148,0.23655716,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.614791667,0.231861373,0.29245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.579699074,0.243020772,0.283018868,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.545833333,0.252301856,0.386792453,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.550023148,0.227718032,0.481132075,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.583333333,0.504074074,0.227994255,0.471698113,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.625,0.341994949,0.230882038,0.490566038,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.666666667,0.171527778,0.249152917,0.5,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.708333333,0.116597222,0.273571008,0.41509434,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.75,0.101296296,0.275725545,0.41509434,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.791666667,0.092685185,0.258378757,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.833333333,0.570252525,0.261256495,0.311320755,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.875,0.633425926,0.263185032,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.580856481,0.261803919,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.580578704,0.257550088,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.547476852,0.257052888,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.540347222,0.228104744,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.501203704,0.216503388,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.287152778,0.219818061,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.123356481,0.208216706,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.0725,0.230425015,0,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.055300926,0.225453005,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.035671296,0.234789334,0.301886792,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.093217593,0.244070419,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.375,0.626018519,0.256997643,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.416666667,0.667824074,0.265892015,0.273584906,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.458333333,0.607314815,0.26340601,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.5,0.57125,0.272797584,0.377358491,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.541666667,0.535416667,0.261030495,0.433962264,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.583333333,0.558472222,0.240148055,0.330188679,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.625,0.506898148,0.236170448,0.367924528,0,1,3,0.215909091,0.312130527,0.111071253,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.034512741
0.666666667,0.293148148,0.231529906,0.283018868,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.708333333,0.139074074,0.266112994,0.235849057,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.75,0.113888889,0.291359753,0.122641509,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.791666667,0.110138889,0.289426193,0.141509434,0,1,4,0.271969697,0.312130527,0.144942741,0.985981308,0.050602979,0.949397021,0.276214197,0.159848485,0.043473944
0.833333333,0.101990741,0.282023424,0.08490566,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.875,0.45462963,0.277659104,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.916666667,0.629467593,0.283128315,0.066037736,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.958333333,0.580185185,0.287492634,0.179245283,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
1,0.564606481,0.27456541,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.041666667,0.548726852,0.26412419,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.083333333,0.517800926,0.249594873,0.20754717,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.125,0.506203704,0.231806129,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.166666667,0.255694444,0.224348115,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.208333333,0.112476852,0.244180907,0.113207547,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.25,0.071365741,0.239153654,0.132075472,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.291666667,0.053171296,0.241529169,0.094339623,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
0.333333333,0.044699074,0.251031232,0.103773585,0,0,0,0,0,0,0,0,0.949397021,0.276214197,0,0
