hour,dif_tide_height,water_temp,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.833333333,0.089361702,0.237451117,0.4480563,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.875,0.110638298,0.232690041,0.600871314,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.068085106,0.234402622,0.702971403,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.072340426,0.240148055,0.799932976,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.05106383,0.216503388,0.802837355,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.119148936,0.21943135,0.734331737,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.123404255,0.222469799,0.580875782,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.119148936,0.216227166,0.423145666,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.09787234,0.205675457,0.260947274,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.080851064,0.210315999,0.163985702,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.093617021,0.214901297,0.157059875,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.068085106,0.226392163,0.219615728,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.165957447,0.235838981,0.332774799,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.114893617,0.23655716,0.476094727,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.085106383,0.231861373,0.585455764,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.09787234,0.243020772,0.673274413,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.080851064,0.252301856,0.731233244,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.093617021,0.227718032,0.676720286,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.583333333,0.068085106,0.227994255,0.58489723,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.625,0.10212766,0.230882038,0.445487042,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.666666667,0.10212766,0.249152917,0.313896336,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.708333333,0.131914894,0.273571008,0.210902592,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.75,0.063829787,0.275725545,0.196492404,0,1,2,0.152555911,0.296051076,0.070379951,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.025710301
0.791666667,0.106382979,0.258378757,0.238047364,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.833333333,0.123404255,0.261256495,0.350201072,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.875,0.114893617,0.263185032,0.483914209,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.916666667,0.106382979,0.261803919,0.609472743,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.958333333,0.068085106,0.257550088,0.713695263,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
1,0.089361702,0.257052888,0.751563896,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.041666667,0.05106383,0.228104744,0.737078627,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.083333333,0.059574468,0.216503388,0.674262735,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.125,0.10212766,0.219818061,0.537086685,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.166666667,0.114893617,0.208216706,0.377457551,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.208333333,0.063829787,0.230425015,0.243967828,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.25,0.038297872,0.225453005,0.171023235,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.291666667,0.038297872,0.234789334,0.170352994,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.333333333,0.076595745,0.244070419,0.23603664,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.375,0.089361702,0.256997643,0.342828418,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.416666667,0.068085106,0.265892015,0.466711349,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.458333333,0.046808511,0.26340601,0.57126899,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.5,0.034042553,0.272797584,0.651027703,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
0.541666667,0.025531915,0.261030495,0.68085344,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.583333333,0.05106383,0.240148055,0.630473637,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.625,0.076595745,0.236170448,0.538762288,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.666666667,0.068085106,0.231529906,0.410299374,0,1,5,0.278753994,0.296051076,0.139815351,0.985981308,0.050602979,0.949397021,0.259277709,0.168530351,0.046978509
0.708333333,0.059574468,0.266112994,0.292225201,0,0,0,0,0,0,0,0,0.949397021,0.259277709,0,0
