,hour,wind_dir,current_dir,wind_speed,current_speed,wave_height,water_temp,tide_height,tide_variation,cluster
1647,0.583333333,0.781111111,0.536689815,0.160377358,0.40292244299999996,0.077419355,0.213906895,0.56266756,0.159940209,9
1651,0.75,0.800555556,0.11474537,0.20754717,0.343124766,0.144281525,0.301303771,0.17761394100000003,0.085949178,13
1695,0.583333333,0.48472222200000004,0.566018519,0.28301886800000003,0.355414013,0.098533724,0.252743813,0.5428954420000001,0.141255605,9
1697,0.666666667,0.5069444439999999,0.48037037,0.330188679,0.23551892100000002,0.143108504,0.25865498,0.557752458,0.13452914800000002,9
1698,0.708333333,0.521944444,0.41657407399999996,0.245283019,0.10191082800000001,0.16832844600000002,0.246114467,0.5088248439999999,0.206278027,9
1699,0.75,0.545,0.18870370399999997,0.264150943,0.17871862100000002,0.2,0.266886417,0.41878909700000005,0.170403587,6
1719,0.583333333,0.508888889,0.488888889,0.5566037739999999,0.027882421,0.287123433,0.295367494,0.520554066,0.126307922,14
1722,0.708333333,0.554722222,0.39125,0.603773585,0.06796553,0.479765396,0.27346051899999996,0.55015639,0.037369208,1
1862,0.541666667,0.513611111,0.109189815,0.5377358489999999,0.368227801,0.632258064,0.41836697100000003,0.17269883800000002,0.139760837,10
1961,0.666666667,0.694722222,0.12253968300000001,0.254716981,0.43848418299999997,0.193799749,0.529021803,0.134159964,0.158445441,13
1985,0.666666667,0.577777778,0.12555555599999998,0.188679245,0.414162608,0.162463343,0.5222819679999999,0.20062555899999998,0.238415546,15
1986,0.708333333,0.668055556,0.10275,0.264150943,0.40520044899999996,0.172082111,0.524845315,0.155272565,0.081464873,13
2056,0.625,0.529444444,0.486944444,0.311320755,0.14050206099999998,0.273900294,0.52327637,0.577859696,0.071748879,17
2060,0.791666667,0.5125,0.10066666699999999,0.330188679,0.410325965,0.307214076,0.512448439,0.200513852,0.050822123,15
2083,0.75,0.533611111,0.168425926,0.32075471699999997,0.20134882,0.5038123170000001,0.509133766,0.391867739,0.38639760799999995,10
2084,0.791666667,0.44833333299999995,0.10166666699999999,0.32075471699999997,0.32472086899999997,0.446568915,0.504095463,0.287868633,0.333333333,10
