hour,wave_height,current_dir,tide_height,wind_speed,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.5,0.255131965,0.545833333,0.731233244,0.386792453,0,1,2,0.103476821,0.285646725,0.044116663,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.01807418
0.541666667,0.247507332,0.550023148,0.676720286,0.481132075,0,1,2,0.103476821,0.285646725,0.044116663,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.01807418
0.583333333,0.251026393,0.504074074,0.58489723,0.471698113,0,1,2,0.103476821,0.285646725,0.044116663,0.985981308,0.050602979,0.949397021,0.248318804,0.174668874,0.01807418
0.625,0.287763263,0.341994949,0.445487042,0.490566038,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.666666667,0.314369502,0.171527778,0.313896336,0.5,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.708333333,0.317888563,0.116597222,0.210902592,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.75,0.346627566,0.101296296,0.196492404,0.41509434,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.791666667,0.346627566,0.092685185,0.238047364,0.396226415,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.833333333,0.301839509,0.570252525,0.350201072,0.311320755,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.875,0.255718475,0.633425926,0.483914209,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.916666667,0.224046921,0.580856481,0.609472743,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.958333333,0.255131965,0.580578704,0.713695263,0.330188679,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
1,0.255718475,0.547476852,0.751563896,0.235849057,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.041666667,0.248093842,0.540347222,0.737078627,0.226415094,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.083333333,0.240469209,0.501203704,0.674262735,0.150943396,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.125,0.262170088,0.287152778,0.537086685,0.141509434,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.166666667,0.28797654,0.123356481,0.377457551,0.122641509,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
0.208333333,0.293841642,0.0725,0.243967828,0,0,0,0,0,0,0,0,0,0.949397021,0.248318804,0,0
