hour,wind_dir,current_dir,tide_height,dif_tide_height,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.9166666666666666,0.5205555555555555,0.4841666666666667,0.8433869524128685,0.046808510638297884,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
1.0,0.5127777777777778,0.25305555555555553,0.4811764438337801,0.14468085106382975,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.5,0.5647222222222222,0.3964583333333333,0.5459115281501339,0.10638297872340426,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.5416666666666666,0.5586111111111111,0.21083333333333332,0.3579088471849865,0.11063829787234043,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.75,0.5130555555555555,0.9552777777777776,0.36181858800268096,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.5833333333333334,0.9369444444444444,0.3368518519444445,0.2888739946380696,0.11063829787234043,0,1,1,0.06497890295358649,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.011570083141946626
0.625,0.8144444444444444,0.4743055555555555,0.13818141199731898,0.08085106382978724,0,1,1,0.06497890295358649,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.011570083141946626
0.6666666666666666,0.8441666666666666,0.4489814813888889,0.08879541461126003,0.03829787234042553,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.7083333333333334,0.8622222222222221,0.4889722222222223,0.12796550154155498,0.06382978723404256,1,1,1,0.06497890295358649,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.011570083141946626
0.75,0.9097222222222222,0.7670138888888889,0.24636479302949055,0.10638297872340426,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.7916666666666666,0.9708333333333332,0.6688888888888889,0.4079535299597855,0.11063829787234043,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.8333333333333334,0.9638888888888888,0.5734722222222222,0.6053395891420912,0.11063829787234043,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.875,0.987222222222222,0.5832407408333333,0.7854110810991954,0.0851063829787234,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9166666666666666,0.016944444444444443,0.5634027777777777,0.8924262734584448,0.03404255319148936,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9583333333333334,0.05833333333333333,0.5397685186111111,0.9034852546916888,0.029787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
1.0,0.2147222222222222,0.4953935186111111,0.7993744416890081,0.0723404255319149,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.04166666666666666,0.16722222222222222,0.2967129630555556,0.614896936997319,0.13191489361702127,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.08333333333333333,0.12416666666666668,0.11245370369444443,0.373994638069705,0.13617021276595745,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.125,0.3547222222222222,0.05706018519444445,0.16342716709115282,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.16666666666666666,0.32666666666666666,0.05010101011111112,0.05674709564343164,0.042553191489361715,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.4583333333333333,0.6233333333333333,0.5354861111111111,0.7053172473190347,0.025531914893617023,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.5,0.6480555555555556,0.5493518519444445,0.727100089142091,0.01276595744680851,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.5416666666666666,0.6519444444444444,0.5430787036111111,0.6693476320375336,0.06382978723404256,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.5833333333333334,0.6661111111111111,0.4572500000000001,0.5441242180294905,0.09787234042553193,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.625,0.7133333333333334,0.2821759258333333,0.3793565683646112,0.09361702127659577,0,1,1,0.06497890295358649,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.011570083141946626
0.6666666666666666,0.7055555555555556,0.17513888888888887,0.22508936548257366,0.08085106382978724,0,1,4,0.10970464135021098,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.019533906603286515
0.7083333333333334,0.7788888888888889,0.12886574075,0.1438784629356568,0.021276595744680854,0,1,7,0.08270042194092828,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.014725560362477526
0.75,0.7677777777777777,0.10370370369444444,0.14689454872654156,0.03829787234042553,0,1,7,0.08270042194092828,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.014725560362477526
0.7916666666666666,0.8613888888888891,0.24717592591666665,0.2489946380697051,0.08936170212765958,0,1,1,0.06497890295358649,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.011570083141946626
0.8333333333333334,0.9725,0.7695138888888888,0.3994638069705093,0.08085106382978724,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.875,0.8538888888888888,0.6560648147222222,0.5456881144101876,0.0851063829787234,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9166666666666666,0.8780555555555556,0.5798611111111112,0.6725871313672921,0.059574468085106386,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.9583333333333334,0.0,0.5694907408333333,0.7477658626005362,0.03404255319148936,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
1.0,0.3852777777777777,0.5642592591666666,0.7686550489276137,0.021276595744680854,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.04166666666666666,0.3413888888888889,0.543611111111111,0.7099393485254691,0.05106382978723405,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.08333333333333333,0.3966666666666667,0.4690277777777778,0.5786416441018766,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.125,0.5247222222222222,0.18326388888888887,0.3968945487265415,0.11063829787234043,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.16666666666666666,0.5358333333333334,0.11046296297222223,0.22095621092493287,0.09787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.20833333333333331,0.4658333333333333,0.08215277777777777,0.11449955315013405,0.029787234042553193,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.25,0.4263888888888889,0.05113425925,0.10880250221179624,0.00851063829787234,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.2916666666666667,0.4913888888888889,0.018425925925,0.1707998212466488,0.05106382978723405,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.3333333333333333,0.5002777777777777,0.10335648147222223,0.29970956213136724,0.08936170212765958,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.375,0.5277777777777778,0.8384027777777777,0.4238159070375335,0.09361702127659577,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.4166666666666667,0.5502777777777778,0.6131944444444445,0.5554066130697051,0.08936170212765958,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.4583333333333333,0.5472222222222223,0.5444444444444444,0.6520330650134046,0.05106382978723405,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.0,0.0
0.5,0.5691666666666667,0.5366898147222223,0.7045352995978552,0.021276595744680854,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.5416666666666666,0.5713888888888888,0.5562037036111112,0.6884495087131367,0.025531914893617023,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.5833333333333334,0.5525,0.5265740741666666,0.6155049148793563,0.06382978723404256,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.625,0.5716666666666667,0.3864814813888889,0.4960902591823056,0.08085106382978724,0,1,5,0.20506329113924052,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.03651337926614325
0.6666666666666666,0.5655555555555556,0.19196759258333326,0.34740840033512066,0.08085106382978724,0,1,9,0.16540084388185655,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.02945112072495505
0.7083333333333334,0.5650000000000001,0.12763888888888889,0.2364834673592493,0.06382978723404256,0,1,9,0.16540084388185655,0.0506029794277607,0.9493970205722393,0.985981308411215,0.24259028642590286,0.17805907172995783,0.02945112072495505
