hour,current_speed,wave_height,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.9166666666666666,0.14780476174169116,0.061263663357481214,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.9583333333333334,0.1729486698944389,0.07155425245080453,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
1.0,0.17354814529328327,0.07155425245080453,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.04166666666666666,0.20179842631882608,0.06686217010366269,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.08333333333333333,0.1959535405956049,0.0633431085192594,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.125,0.13480704379882946,0.07214076248026763,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.16666666666666666,0.06324466090854189,0.06275659848979626,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.20833333333333331,0.16223304603855962,0.07096774171752909,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.25,0.2645934805973055,0.05982404693485607,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.2916666666666667,0.31899587848267186,0.08563049878841769,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.3333333333333333,0.21850880470267692,0.08093841644127586,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.375,0.08587485944496556,0.06627566007419955,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.4166666666666667,0.13413263390768854,0.06979472165860287,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.4583333333333333,0.21813413260087955,0.08269794723347751,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.5,0.2086174596326104,0.08445747802567917,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.5416666666666666,0.13113525664370276,0.12258064542465236,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.5833333333333334,0.10056200824531504,0.14545454572327374,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.625,0.04286249530661936,0.15366568895100666,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.6666666666666666,0.18471337574325647,0.1771260999829035,1,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.7083333333333334,0.3294866990415042,0.1806451615673068,0,1,3,0.47511574074074076,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05801471139831961
0.75,0.3917572123235144,0.17653958924962804,0,1,3,0.47511574074074076,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05801471139831961
0.7916666666666666,0.41026601708374105,0.14134897340559507,0,1,3,0.47511574074074076,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05801471139831961
0.8333333333333334,0.3452978642371672,0.0926686219572243,0,1,3,0.47511574074074076,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05801471139831961
0.875,0.23626826516938745,0.07096774171752909,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.9166666666666666,0.17751967023775347,0.06275659848979626,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.9583333333333334,0.3827446437537437,0.06958144470840621,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
1.0,0.3686774071300519,0.07448680330193239,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.04166666666666666,0.323417010021236,0.08797653961008248,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.08333333333333333,0.25237916815439393,0.08621700881788083,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.125,0.22088626987992646,0.09389496142965277,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.16666666666666666,0.11517422255336797,0.09384164201615053,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.20833333333333331,0.07317006707713697,0.07661956787721283,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.25,0.21783439481153605,0.08621700881788083,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.2916666666666667,0.360809291733408,0.09501466277888906,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.3333333333333333,0.3338328960877718,0.1026392959771588,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.375,0.34312476575899403,0.09560117280835218,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.4166666666666667,0.22825028096799316,0.10791788835376373,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.4583333333333333,0.1575121768005733,0.09736070360055382,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.5,0.23484451098473044,0.10498533750263583,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.5416666666666666,0.2415886098961395,0.10967741914596538,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.5833333333333334,0.15061820899449244,0.11143694993816702,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.625,0.0475833645446057,0.12258064542465236,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.6666666666666666,0.13008617456084315,0.13079178865238514,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.7083333333333334,0.23934057692566985,0.14428152496053526,0,1,1,0.4878472222222222,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05956930780606995
0.75,0.39857624563729865,0.15425219968428205,0,1,3,0.47511574074074076,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05801471139831961
0.7916666666666666,0.4693143498047185,0.14545454572327374,0,1,3,0.47511574074074076,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05801471139831961
0.8333333333333334,0.4140127387311643,0.11554252225584576,0,1,3,0.47511574074074076,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.12210648148148147,0.05801471139831961
0.875,0.3698763581075833,0.09325513198668743,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.9166666666666666,0.1558636193188693,0.10498533750263583,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.9583333333333334,0.2285500186674153,0.09501466277888906,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
1.0,0.4168602471903997,0.09442815274942597,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.04166666666666666,0.4344698387624384,0.10850439908703913,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.08333333333333333,0.3828400148440109,0.10967741914596538,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.125,0.33173473201197384,0.10146627591823257,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.16666666666666666,0.2654926937854933,0.11671554231477195,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.20833333333333331,0.11592356684688412,0.10205278594769564,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.25,0.08909704009591965,0.09560117280835218,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
0.2916666666666667,0.23559385527824656,0.10205278594769564,0,0,0,0.0,0.0506029794277607,0.9493970205722393,0.985981308411215,0.3778331257783313,0.0,0.0
