hour,wave_height,water_temp,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.083333333,0.100293255,0.223906158,0.60612855,0.469168901,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.125,0.08914956,0.222138332,0.388639761,0.278485255,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.166666667,0.100293255,0.230590748,0.493273543,0.160746202,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.208333333,0.091495601,0.228215233,0.254110613,0.115840036,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.25,0.08797654,0.231861373,0.265321375,0.174709562,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.291666667,0.09032258,0.242799794,0.304185351,0.2987042,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.333333333,0.118848307,0.248841538,0.441704036,0.46849866,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.375,0.160437216,0.245466599,0.506726457,0.610254692,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.416666667,0.088136497,0.242935394,0.237668161,0.718386952,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.458333333,0.070381232,0.247164113,0.216741405,0.761058981,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.5,0.096774194,0.221641131,0.338565022,0.749776586,0,0,0,0,0,0,0,0,0.949397021,0.224159402,0,0
0.541666667,0.1542522,0.210039776,0.502242152,0.631478999,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
0.583333333,0.135483871,0.222083088,0.396113602,0.480004468,0,1,7,0.276327633,0.26270986,0.119762327,0.985981308,0.050602979,0.949397021,0.224159402,0.189918992,0.052479865
