hour,wave_height,water_temp,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.333333333,0.080938416,0.235176046,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.075659824,0.236501915,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.069208211,0.237662051,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.070381232,0.21020551,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.080351906,0.215564231,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.073900293,0.216669122,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.583333333,0.082697947,0.210702711,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.090695814,0.285965875,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.666666667,0.107331378,0.273571008,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.708333333,0.109677419,0.259815115,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.75,0.098533724,0.279979375,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.791666667,0.083870968,0.273791986,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.833333333,0.064516129,0.272134649,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.875,0.070861104,0.250107141,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.916666667,0.09032258,0.234236888,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.958333333,0.076832845,0.214404096,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.068035191,0.217663524,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.069581445,0.220275084,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.079178886,0.212581026,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.079178886,0.206448881,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.074486803,0.214901297,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.075659824,0.223298468,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.072140762,0.235618003,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.069208211,0.243904685,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.333333333,0.076832845,0.246114467,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.081524926,0.240534767,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.068621701,0.239264143,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.075659824,0.22915439,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.065102639,0.212304803,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.076246334,0.225066294,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.583333333,0.108504399,0.218492192,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.138043189,0.244080463,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.666666667,0.13372434,0.284122716,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.708333333,0.148856305,0.296994697,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.75,0.15483871,0.268930466,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.791666667,0.144868035,0.257550088,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.833333333,0.105571848,0.269814378,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.875,0.098533724,0.277493371,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.916666667,0.107331378,0.262024897,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.958333333,0.096774194,0.243186505,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.080938416,0.225287272,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.078005865,0.225673984,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.100293255,0.223906158,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.08914956,0.222138332,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.100293255,0.230590748,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.091495601,0.228215233,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.08797654,0.231861373,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.09032258,0.242799794,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.333333333,0.118848307,0.248841538,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.160437216,0.245466599,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.088136497,0.242935394,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.070381232,0.247164113,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.096774194,0.221641131,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.1542522,0.210039776,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.583333333,0.135483871,0.222083088,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.107917888,0.221088686,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.666666667,0.123753665,0.226281673,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.708333333,0.194988004,0.24414073,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.75,0.253372434,0.246777401,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.791666667,0.256891496,0.235286535,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.833333333,0.188589709,0.237451117,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.875,0.160117302,0.232690041,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.916666667,0.171847508,0.234402622,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.958333333,0.226392962,0.240148055,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
1,0.217008797,0.216503388,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.041666667,0.168328446,0.21943135,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.083333333,0.182404692,0.222469799,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.125,0.164222874,0.216227166,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.166666667,0.231085044,0.205675457,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.208333333,0.309677419,0.210315999,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.25,0.295014663,0.214901297,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.291666667,0.271554252,0.226392163,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.333333333,0.258064516,0.235838981,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.375,0.237536657,0.23655716,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.416666667,0.218768328,0.231861373,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.458333333,0.252199413,0.243020772,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.5,0.255131965,0.252301856,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.541666667,0.247507332,0.227718032,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.583333333,0.251026393,0.227994255,0,1,2,0.338273196,0.366989832,0.228614461,0.985981308,0.050602979,0.949397021,0.334246575,0.135866066,0.045959848
0.625,0.287763263,0.230882038,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
0.666666667,0.314369502,0.249152917,0,0,0,0,0,0,0,0,0.949397021,0.334246575,0,0
